ID;Nazwa Atrakcji;Cena;Opis;Kategoria;Miasto
69;Montjuïc;0;Wzgórze z zamkiem, ogrodami i obiektami olimpijskimi, oferujące panoramiczne widoki na miasto.;Zwiedzanie;Barcelona
70;Pałac Muzyki Katalońskiej;84,2;Modernistyczna sala koncertowa o bogato zdobionym wnętrzu.;Zwiedzanie;Barcelona
71;Tibidabo;147,35;Wzgórze z parkiem rozrywki i kościołem, oferujące widoki na całą Barcelonę.;Rozrywka;Barcelona
72;Mercat de Sant Josep de la Boqueria;0;Słynny targ oferujący świeże produkty, tapas i lokalne specjały.;Kulinaria;Barcelona
73;Fundacja Joana Miró;54,73;Muzeum poświęcone twórczości katalońskiego artysty Joana Miró.;Zwiedzanie;Barcelona
74;Plaça d'Espanya;0;Imponujący plac z fontannami i monumentalnymi budynkami.;Zwiedzanie;Barcelona
75;Poble Espanyol;58,94;Otwarty skansen prezentujący architekturę i kulturę różnych regionów Hiszpanii.;Zwiedzanie;Barcelona
76;Akwarium w Barcelonie;88,41;Jedno z największych akwariów w Europie, z tunelem podwodnym i różnorodnymi gatunkami morskimi.;Rozrywka;Barcelona
77;Muzeum Narodowe Sztuki Katalonii (MNAC);50,52;Muzeum z bogatą kolekcją sztuki romańskiej, gotyckiej i nowoczesnej.;Zwiedzanie;Barcelona
78;Plaça de Catalunya;0;Centralny plac Barcelony, punkt wyjścia do wielu atrakcji turystycznych.;Zwiedzanie;Barcelona
79;Muzeum Historii Barcelony (MUHBA);29,47;Muzeum prezentujące historię miasta od czasów rzymskich po współczesność.;Zwiedzanie;Barcelona
80;Góra Stołowa (Table Mountain);86,9;Ikoniczna góra o płaskim szczycie, oferująca panoramiczne widoki na miasto i ocean.;Wędrówki;Kapsztad
81;Nabrzeże V&A Waterfront;0;Tętniąca życiem dzielnica portowa z licznymi sklepami, restauracjami i atrakcjami rozrywkowymi.;Rozrywka;Kapsztad
82;Wyspa Robben (Robben Island);132;Historyczna wyspa, na której więziono Nelsona Mandelę. Obecnie muzeum i miejsce dziedzictwa UNESCO.;Zwiedzanie;Kapsztad
83;Ogrody Kirstenbosch;46,2;Jedne z najpiękniejszych ogrodów botanicznych na świecie, położone u podnóża Góry Stołowej.;Rekreacja;Kapsztad
84;Plaża Boulders;35,2;Słynna plaża zamieszkana przez kolonię pingwinów afrykańskich, idealna do obserwacji tych uroczych ptaków.;Zwiedzanie;Kapsztad
85;Dzielnica Bo-Kaap;0;Historyczna dzielnica znana z kolorowych domów i brukowanych uliczek – centrum kultury malajskiej.;Zwiedzanie;Kapsztad
86;Cape Point;79,2;Malowniczy przylądek oferujący spektakularne widoki na ocean i klify, część Parku Narodowego Góry Stołowej.;Zwiedzanie;Kapsztad
87;Zamek Dobrej Nadziei (Castle of Good Hope);11;Najstarszy zachowany budynek kolonialny w RPA, oferujący zwiedzanie fortecy i muzeum.;Zwiedzanie;Kapsztad
88;Muzeum Zeitz MOCAA;46,2;Największe muzeum sztuki współczesnej w Afryce, mieszczące się w zrewitalizowanym silosie zbożowym.;Zwiedzanie;Kapsztad
89;Plaże Clifton;0;Cztery malownicze plaże oddzielone granitowymi głazami, popularne wśród mieszkańców i turystów.;Plażowanie;Kapsztad
90;Lion's Head;0;Góra o charakterystycznym kształcie, oferująca popularny szlak turystyczny z widokami na Kapsztad i ocean.;Wędrówki;Kapsztad
91;Muzeum Dystryktu Szóstego;9,9;Muzeum upamiętniające historię przesiedleń mieszkańców Dystryktu Szóstego podczas apartheidu.;Zwiedzanie;Kapsztad
92;Akwarium Dwóch Oceanów (Two Oceans Aquarium);46,2;Akwarium prezentujące bogactwo fauny morskiej Oceanu Atlantyckiego i Indyjskiego.;Rozrywka;Kapsztad
93;Signal Hill;0;Wzgórze oferujące panoramiczne widoki na miasto, popularne miejsce do obserwacji zachodów słońca.;Zwiedzanie;Kapsztad
94;Muzeum Iziko South African;6,6;Muzeum prezentujące bogatą kolekcję eksponatów z zakresu historii naturalnej i kultury.;Zwiedzanie;Kapsztad
95;Plaża Camps Bay;0;Popularna plaża z białym piaskiem i turkusową wodą, otoczona restauracjami i barami.;Plażowanie;Kapsztad
96;Groot Constantia;26,4;Najstarsza winnica w RPA, oferująca degustacje win i zwiedzanie historycznych budynków.;Zwiedzanie;Kapsztad
97;Chapman's Peak Drive;11;Jedna z najpiękniejszych tras widokowych na świecie, biegnąca wzdłuż wybrzeża z zapierającymi dech w piersiach widokami.;Rekreacja;Kapsztad
98;Muzeum Serca (Heart of Cape Town Museum);66;Muzeum.;Zwiedzanie;Kapsztad
99;Burj Khalifa;165,39;Najwyższy budynek na świecie o wysokości 828 metrów Oferuje tarasy widokowe na 124., 125. i 148. piętrze z panoramicznymi widokami na miasto.;Zwiedzanie;Dubaj
100;Dubai Mall;0;Jedno z największych centrów handlowych na świecie z ponad 1200 sklepami, restauracjami, akwarium i lodowiskiem.;Rozrywka;Dubaj
101;Fontanny Dubajskie (Dubai Fountain);0;Spektakularne pokazy wodne z synchronizacją muzyki i świateł, odbywające się codziennie na jeziorze Burj Lake.;Rozrywka;Dubaj
102;Palm Jumeirah;0;Sztuczna wyspa w kształcie palmy, na której znajdują się luksusowe hotele, restauracje i parki rozrywki.;Zwiedzanie;Dubaj
103;Burj Al Arab;443,89;Luksusowy hotel w kształcie żagla, uznawany za jeden z najbardziej ekskluzywnych na świecie. Oferuje wycieczki z przewodnikiem i ekskluzywne restauracje.;Zwiedzanie;Dubaj
104;Dubai Marina;0;Nowoczesna dzielnica z kanałem wodnym otoczonym wieżowcami, restauracjami i sklepami. Idealna na spacery i rejsy.;Zwiedzanie;Dubaj
105;Muzeum Dubaju (Dubai Museum);3,33;Muzeum mieszczące się w XIX-wiecznym forcie Al Fahidi, prezentujące historię i kulturę Dubaju.;Zwiedzanie;Dubaj
106;Dzielnica Al Fahidi (Al Fahidi Historical Neighborhood);0;Jedna z najstarszych dzielnic Dubaju z tradycyjną architekturą, muzeami i galeriami sztuki.;Kultura;Dubaj
107;Dubai Creek (przeprawa łodzią abra);1,11;Naturalny kanał wodny dzielący miasto, oferujący tradycyjne przeprawy łodziami abra oraz widoki na stare i nowe części Dubaju.;Zwiedzanie;Dubaj
108;Meczet Jumeirah (Jumeirah Mosque);27,75;Jedyny meczet w Dubaju otwarty dla niemuzułmanów. Oferuje wycieczki edukacyjne na temat islamu i kultury emirackiej.;Zwiedzanie;Dubaj
109;Dubai Frame;55,5;Gigantyczna ramka o wysokości 150 metrów, oferująca widoki na stare i nowe części miasta z szklanego mostu.;Zwiedzanie;Dubaj
110;Ski Dubai;210,9;Kryty ośrodek narciarski z prawdziwym śniegiem, oferujący zjazdy na nartach, snowboardzie oraz spotkania z pingwinami.;Rozrywka;Dubaj
111;Global Village;16,65;Sezonowy park rozrywki i kulturalny, prezentujący pawilony z różnych krajów, kuchnię międzynarodową i występy na żywo.;Rozrywka;Dubaj
112;Dubai Miracle Garden;61,05;Największy na świecie ogród kwiatowy z imponującymi instalacjami i rzeźbami z kwiatów.;Rekreacja;Dubaj
113;Desert Safari;166,5;Przygoda na pustyni obejmująca jazdę po wydmach, jazdę na wielbłądach, sandboarding i tradycyjną kolację beduińską.;Rekreacja;Dubaj
114;Akwarium i Zoo Podwodne w Dubaju;133,2;Jedno z największych akwariów na świecie, mieszczące tysiące morskich stworzeń, w tym rekiny i płaszczki.;Rozrywka;Dubaj
115;Muzeum Przyszłości (Museum of the Future);160,95;Nowoczesne muzeum prezentujące innowacje technologiczne i wizje przyszłości.;Zwiedzanie;Dubaj
116;Plaża JBR (JBR Beach);0;Popularna publiczna plaża z udogodnieniami, restauracjami i możliwościami uprawiania sportów wodnych.;Plażowanie;Dubaj
117;Madinat Jumeirah;0;Komplet inspirowany tradycyjną arabską architekturą z kanałami wodnymi, soukiem, restauracjami i luksusowymi hotelami.;Zwiedzanie;Dubaj
118;Koloseum (Colosseo);67,36;Starożytny amfiteatr, symbol Rzymu, gdzie odbywały się walki gladiatorów i inne widowiska.;Zwiedzanie;Rzym
119;Forum Romanum;0;Historyczne centrum życia politycznego i społecznego starożytnego Rzymu z licznymi ruinami świątyń i budynków publicznych (wliczone w bilet).;Zwiedzanie;Rzym
120;Panteon;0;Doskonale zachowana świątynia z II wieku n.e., znana z imponującej kopuły i otworu w jej centrum.;Zwiedzanie;Rzym
121;Fontanna di Trevi;0;Barokowa fontanna, do której turyści wrzucają monety, wierząc, że zapewni im to powrót do Rzymu.;Zwiedzanie;Rzym
122;Schody Hiszpańskie (Piazza di Spagna);0;Słynne schody łączące plac Hiszpański z kościołem Trinità dei Monti, popularne miejsce spotkań.;Zwiedzanie;Rzym
123;Plac Navona (Piazza Navona);0;Elegancki plac z trzema fontannami, otoczony barokowymi budynkami i kawiarniami.;Zwiedzanie;Rzym
124;Zamek Świętego Anioła (Castel Sant'Angelo);63,15;Masywna forteca nad Tybrem, pierwotnie mauzoleum cesarza Hadriana, później używana jako zamek i muzeum.;Zwiedzanie;Rzym
125;Bazylika św. Piotra (Basilica di San Pietro);0;Największy kościół chrześcijański na świecie, z imponującą architekturą i dziełami sztuki, w tym Pietą Michała Anioła.;Zwiedzanie;Rzym
126;Muzea Watykańskie (Musei Vaticani);71,57;Rozległe zbiory sztuki i artefaktów zgromadzone przez papieży, w tym Kaplica Sykstyńska z freskami Michała Anioła.;Zwiedzanie;Rzym
127;Kapitol (Campidoglio);0;Jedno z siedmiu wzgórz Rzymu, z placem zaprojektowanym przez Michała Anioła i widokiem na Forum Romanum.;Zwiedzanie;Rzym
128;Bazylika św. Jana na Lateranie (San Giovanni in Laterano);0;Katedra biskupa Rzymu, uznawana za matkę wszystkich kościołów katolickich.;Zwiedzanie;Rzym
129;Villa Borghese;0;Rozległy park miejski z ogrodami, jeziorami i muzeami, idealny na spacery i relaks.;Rekreacja;Rzym
130;Galeria Borghese (Galleria Borghese);84,2;Muzeum sztuki mieszczące się w XVII-wiecznej willi, z kolekcją dzieł takich artystów jak Caravaggio, Bernini i Rafael.;Zwiedzanie;Rzym
131;Termy Karakalli (Terme di Caracalla);33,68;Ruiny monumentalnych łaźni publicznych z III wieku n.e., świadectwo inżynierii starożytnego Rzymu.;Zwiedzanie;Rzym
132;Campo de' Fiori;0;Tętniący życiem plac z codziennym targiem, otoczony restauracjami i kawiarniami.;Zwiedzanie;Rzym
133;Bazylika Matki Bożej Większej (Santa Maria Maggiore);0;Jedna z czterech papieskich bazylik Rzymu, znana z mozaik i bogato zdobionych wnętrz.;Zwiedzanie;Rzym
134;Katakumby św. Kaliksta (Catacombe di San Callisto);33,68;Podziemne cmentarze wczesnych chrześcijan z siecią tuneli i grobowców.;Zwiedzanie;Rzym
135;Piazza del Popolo;0;Duży plac z obeliskiem, otoczony kościołami i historycznymi budynkami, często miejsce wydarzeń kulturalnych.;Zwiedzanie;Rzym
136;Ołtarz Ojczyzny (Altare della Patria);0;Monumentalny pomnik upamiętniający zjednoczenie Włoch, z tarasem widokowym oferującym panoramę miasta.;Zwiedzanie;Rzym
137;Dzielnica Trastevere;0;Urokliwa dzielnica z wąskimi uliczkami, tradycyjnymi trattoriami i tętniącą atmosferą.;Zwiedzanie;Rzym
138;Akropol Ateński;84,2;Starożytne wzgórze z Partenonem i innymi zabytkami, symbol greckiej cywilizacji.;Zwiedzanie;Ateny
139;Muzeum Akropolu;42,1;Nowoczesne muzeum prezentujące artefakty z Akropolu.;Zwiedzanie;Ateny
140;Starożytna Agora;33,68;Dawne centrum polityczne i handlowe Aten z dobrze zachowaną świątynią Hefajstosa.;Zwiedzanie;Ateny
141;Plaka;0;Malownicza dzielnica z wąskimi uliczkami, tradycyjnymi tawernami i sklepami z pamiątkami.;Kultura;Ateny
142;Łuk Hadriana;0;Starożytny łuk triumfalny z II wieku n.e., oddzielający starą i nową część miasta.;Zwiedzanie;Ateny
143;Świątynia Zeusa Olimpijskiego (Olimpiejon);25,26;Pozostałości największej świątyni w starożytnej Grecji, poświęconej Zeusowi.;Zwiedzanie;Ateny
144;Stadion Panatenajski;21,05;Całkowicie marmurowy stadion, na którym odbyły się pierwsze nowożytne igrzyska olimpijskie w 1896 roku.;Zwiedzanie;Ateny
145;Narodowe Muzeum Archeologiczne;42,1;Największe muzeum archeologiczne w Grecji z bogatą kolekcją artefaktów.;Zwiedzanie;Ateny
146;Wzgórze Likavitos;0;Najwyższe wzgórze w Atenach, oferujące panoramiczne widoki na miasto.;Rekreacja;Ateny
147;Dzielnica Anafiotika;0;Urokliwa część miasta z białymi domkami przypominającymi architekturę Cyklad.;Kultura;Ateny
148;Ogród Narodowy;0;Zielona oaza w centrum miasta z egzotycznymi roślinami i stawami.;Rekreacja;Ateny
149;Plac Syntagma;0;Główny plac miasta z Parlamentem i ceremonią zmiany warty przed Grobem Nieznanego Żołnierza.;Zwiedzanie;Ateny
150;Teatr Dionizosa;0;Starożytny teatr u stóp Akropolu, uważany za kolebkę europejskiego teatru (wliczone w bilet na Akropol).;Zwiedzanie;Ateny
151;Odeon Heroda Attyka;0;Starożytny teatr z II wieku n.e., obecnie wykorzystywany na koncerty i przedstawienia (wliczone w bilet na Akropol).;Zwiedzanie;Ateny
152;Muzeum Benaki;37,89;Muzeum prezentujące grecką sztukę i kulturę od czasów prehistorycznych po współczesność.;Zwiedzanie;Ateny
153;Agora Rzymska;25,26;Starożytne rzymskie forum z Wieżą Wiatrów i pozostałościami bibliotek.;Zwiedzanie;Ateny
154;Muzeum Sztuki Cykladzkiej;29,47;Kolekcja sztuki cykladzkiej z charakterystycznymi marmurowymi figurkami.;Zwiedzanie;Ateny
155;Klasztor Dafni;0;Bizantyjski klasztor z XI wieku, wpisany na listę UNESCO.;Zwiedzanie;Ateny
156;Wzgórze Filopapposa;0;Wzgórze z pomnikiem Filopapposa i widokiem na Akropol.;Rekreacja;Ateny
157;Plaża Vouliagmeni;21,05;Popularna plaża z czystą wodą i udogodnieniami, idealna na relaks.;Plażowanie;Ateny
158;Tokyo Tower;44;Ikoniczna wieża telewizyjna z panoramicznym widokiem na Tokio.;Zwiedzanie;Tokyo
159;Sensō-ji Temple;0;Najstarsza buddyjska świątynia w Tokio, z piękną architekturą.;Zwiedzanie;Tokyo
160;Shibuya Crossing;0;Słynne skrzyżowanie symbolizujące pulsujące życie miasta.;Zwiedzanie;Tokyo
161;Meiji Shrine;0;Spokojna świątynia otoczona bujnym lasem.;Zwiedzanie;Tokyo
162;Imperial Palace East Gardens;0;Piękne ogrody cesarskie dostępne dla zwiedzających.;Zwiedzanie;Tokyo
163;Ueno Zoo;22;Zoo z szeroką gamą zwierząt, idealne dla rodzin.;Zwiedzanie;Tokyo
164;Akihabara;0;Centrum elektroniki i kultury otaku.;Zakupy;Tokyo
165;Ginza District;0;Ekskluzywna dzielnica handlowa z luksusowymi butikami.;Zakupy;Tokyo
166;teamLab Borderless (Odaiba);118;Interaktywne muzeum cyfrowej sztuki w Odaibie.;Rozrywka;Tokyo
167;Roppongi Hills Observation Deck;66;Taras widokowy z panoramicznym widokiem na Tokio.;Zwiedzanie;Tokyo
168;Tsukiji Outer Market;0;Słynny targ rybny z tradycyjnymi przekąskami.;Kulinaria;Tokyo
169;Tokyo Skytree;78;Najwyższa wieża w Japonii z imponującym widokiem.;Zwiedzanie;Tokyo
170;Shinjuku Gyoen;18;Piękny ogród w centrum Tokio, idealny na relaks.;Rekreacja;Tokyo
171;Harajuku;0;Modna dzielnica znana z unikalnych stylizacji ulicznych.;Kultura;Tokyo
172;Sumida Aquarium;78;Nowoczesne akwarium w Tokyo Skytree Town.;Rozrywka;Tokyo
173;Edo-Tokyo Museum;22;Muzeum prezentujące historię Tokio od czasów Edo.;Zwiedzanie;Tokyo
174;Roppongi Art Museum;66;Galeria sztuki współczesnej w sercu Roppongi.;Zwiedzanie;Tokyo
175;National Museum of Nature and Science;23;Muzeum przyrodnicze z fascynującymi ekspozycjami.;Zwiedzanie;Tokyo
176;Yoyogi Park;0;Popularny park miejski idealny na pikniki.;Rekreacja;Tokyo
177;Odaiba Seaside Park;0;Park nadmorski z widokiem na futurystyczne budynki.;Rekreacja;Tokyo
178;Sydney Opera House Tour;122;Ikoniczny budynek operowy, oferujący wycieczki z przewodnikiem.;Zwiedzanie;Sydney
179;Sydney Harbour Bridge Climb;893;Wspinaczka po moście z zapierającymi dech widokami na port.;Zwiedzanie;Sydney
180;Bondi Beach;0;Słynna plaża idealna do surfingu i opalania.;Plażowanie;Sydney
181;Taronga Zoo;142;Zoo z unikalnymi australijskimi zwierzętami.;Zwiedzanie;Sydney
182;Royal Botanic Garden;0;Ogród botaniczny z pięknymi widokami na port.;Rekreacja;Sydney
183;Darling Harbour;0;Centrum rozrywki z restauracjami i atrakcjami wodnymi.;Rozrywka;Sydney
184;The Rocks;0;Historyczna dzielnica z brukowanymi uliczkami i pubami.;Zwiedzanie;Sydney
185;Sea Life Sydney Aquarium;113;Akwarium z fascynującą morską fauną.;Rozrywka;Sydney
186;Luna Park Sydney;102;Park rozrywki z klasycznymi karuzelami i nowoczesnymi atrakcjami.;Rozrywka;Sydney
187;Art Gallery of New South Wales;0;Muzeum sztuki z kolekcjami australijskimi i międzynarodowymi.;Zwiedzanie;Sydney
188;Sydney Tower Eye;72;Wieża widokowa z panoramą miasta.;Zwiedzanie;Sydney
189;Manly Beach;0;Popularna plaża dostępna promem z centrum miasta.;Plażowanie;Sydney
190;Australian National Maritime Museum;72;Muzeum prezentujące historię żeglugi Australii.;Zwiedzanie;Sydney
191;Queen Victoria Building;0;Historyczny dom towarowy z butikami.;Zakupy;Sydney
192;Barangaroo Reserve;0;Nowoczesny park nadbrzeżny idealny na spacery.;Rekreacja;Sydney
193;Sydney Fish Market;0;Targ rybny z świeżymi produktami morskim.;Kulinaria;Sydney
194;Chinese Garden of Friendship;43;Tradycyjny chiński ogród w sercu Sydney.;Zwiedzanie;Sydney
195;Cockatoo Island;57;Historyczna wyspa z możliwością zwiedzania.;Zwiedzanie;Sydney
196;Centennial Park;0;Rozległy park idealny na pikniki.;Rekreacja;Sydney
197;Darling Harbour West;0;Część Darling Harbour z restauracjami i przestrzenią rekreacyjną.;Rozrywka;Sydney
198;Brandenburg Gate;0;Symbol Berlina, reprezentujący zjednoczenie Niemiec.;Zwiedzanie;Berlin
